IdMeldeLandkreis,MeldeLandkreis,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30
01001,SK Flensburg,82.3,93.4,97.8,100.1,100.1,99.0,102.3,90.1,83.4,76.7,80.1,82.3,93.4,91.2,110.1,115.6,120.1,119.0,130.1,143.4,159.0,147.9,145.7,153.4,154.6,150.1,142.3,127.9,153.4,152.3,155.7,156.8,150.1,134.5,142.3,117.9,121.2,115.6,116.8,111.2,129.0,136.8,155.7,161.2,159.0,171.2,185.7,197.9,215.7,204.6,205.7,220.2,222.4,211.3,220.2,199.0,197.9,199.0,189.0,186.8,204.6
01002,SK Kiel,90.4,86.0,86.0,87.2,86.0,87.6,86.4,83.1,90.0,96.5,111.1,118.4,119.2,118.4,120.4,123.3,124.1,108.3,116.4,125.7,129.8,130.6,133.8,136.7,138.7,140.3,125.3,127.3,132.6,126.5,122.9,141.1,137.9,150.4,159.0,154.5,156.9,173.6,169.9,167.9,160.2,157.3,165.9,167.5,164.6,156.5,154.1,160.2,162.6,156.9,153.7,150.0,158.6,159.8,163.8,144.4,141.5,151.7,152.9,167.9,201.9
01003,SK Lübeck,66.3,66.3,53.3,56.5,62.1,70.0,78.8,82.0,82.0,88.5,94.5,108.9,113.5,116.3,124.2,124.2,133.0,149.2,158.4,163.1,174.2,170.0,170.0,171.4,165.4,166.8,184.9,203.8,205.7,205.7,215.0,221.0,213.6,207.1,201.1,189.0,189.0,195.0,191.3,228.9,226.6,232.6,251.1,251.1,249.7,270.6,250.2,242.3,227.5,214.5,214.5,215.4,201.5,183.5,172.8,142.7,135.7,135.7,95.9,102.9,98.2
01004,SK Neumünster,93.9,83.8,85.1,75.1,73.8,71.3,53.8,53.8,53.8,51.3,61.3,67.6,90.1,125.1,128.9,165.2,177.7,186.5,249.0,249.0,250.3,262.8,237.8,244.0,227.8,202.7,191.5,162.7,179.0,169.0,162.7,162.7,145.2,137.7,147.7,130.2,153.9,151.4,175.2,160.2,179.0,179.0,153.9,145.2,140.2,152.7,165.2,158.9,171.5,180.2,189.0,190.2,165.2,145.2,180.2,155.2,161.4,145.2,156.4,163.9,200.2
01051,LK Dithmarschen,53.3,56.3,57.8,61.5,64.5,63.0,83.3,90.8,92.3,92.3,89.3,101.3,102.1,81.8,74.3,78.8,86.3,81.1,72.0,75.8,87.8,93.8,95.3,90.1,93.1,93.8,93.8,92.3,90.8,84.8,86.3,92.3,90.1,84.8,88.6,88.6,90.8,96.1,99.8,108.8,110.3,114.1,117.1,117.1,105.8,105.1,96.1,100.6,88.6,87.8,82.6,92.3,92.3,91.6,109.6,130.6,149.3,192.9,213.1,255.9,323.4
01053,LK Herzogtum Lauenburg,109.5,109.5,105.9,113.0,112.0,110.0,111.5,97.4,93.9,97.4,101.4,100.9,108.0,118.5,128.5,131.6,132.1,150.1,167.2,174.2,185.3,201.4,200.3,208.4,209.9,192.8,209.9,216.4,218.9,235.0,227.5,231.0,242.5,239.5,221.9,204.9,190.3,193.3,196.8,199.8,195.3,201.9,212.9,211.4,217.4,212.9,209.9,216.4,235.5,239.5,244.5,248.6,263.1,260.1,260.6,246.5,217.4,220.4,215.4,211.4,238.5
01054,LK Nordfriesland,78.4,83.8,89.1,99.3,108.9,106.5,103.5,100.5,106.5,104.1,102.9,110.7,113.1,110.1,113.1,108.9,108.3,100.5,96.3,92.7,102.3,104.7,111.9,116.7,122.6,125.6,140.6,145.4,147.8,146.0,149.0,152.6,149.0,141.2,125.0,119.1,114.9,108.9,102.3,101.1,96.9,98.7,105.9,111.3,115.5,123.2,129.8,132.2,135.2,134.0,125.0,112.5,109.5,98.7,95.1,105.3,96.3,106.5,108.3,128.0,149.0
01055,LK Ostholstein,45.2,45.2,43.2,37.2,42.7,48.1,56.1,49.1,50.1,57.1,61.0,62.0,68.0,70.0,70.0,72.5,76.9,80.4,85.4,88.3,91.8,91.8,87.4,105.2,126.1,146.4,151.9,160.3,166.8,166.8,159.3,152.4,143.9,139.0,139.0,132.5,132.5,143.4,146.9,146.9,154.8,148.9,148.9,148.9,137.5,138.5,147.4,148.4,141.9,141.9,141.9,150.9,142.4,125.1,117.1,103.7,103.7,103.7,109.7,114.6,133.5
01056,LK Pinneberg,85.2,87.7,88.3,88.0,87.4,82.9,86.4,89.6,89.3,88.9,92.7,90.8,95.2,91.8,101.6,98.4,106.0,112.9,129.6,150.4,174.7,179.8,190.8,200.6,209.4,222.7,217.3,205.9,204.0,198.7,203.7,202.2,197.7,194.3,199.9,187.0,194.6,181.7,174.1,162.4,159.3,159.3,172.8,166.5,164.3,171.9,178.2,181.0,193.0,191.4,197.1,205.9,205.0,211.0,221.7,180.4,182.9,179.4,182.6,187.0,172.2
01057,LK Plön,59.5,59.5,51.0,53.3,54.1,56.4,54.1,54.1,54.1,67.3,61.8,75.8,78.9,73.4,73.4,73.4,73.4,81.9,81.9,84.3,94.3,105.1,105.1,103.6,108.2,119.1,116.0,122.9,123.7,123.7,139.9,150.0,145.3,153.8,153.8,156.9,156.9,144.6,140.7,128.3,126.0,116.7,110.6,110.6,109.8,88.1,104.4,108.2,113.6,113.6,114.4,113.6,126.8,122.9,123.7,119.1,119.8,119.1,129.1,133.0,134.5
01058,LK Rendsburg-Eckernförde,57.5,57.5,57.5,56.8,55.7,56.4,55.3,59.3,59.3,60.1,65.9,76.4,76.4,87.0,87.0,87.0,91.0,92.8,88.4,88.8,88.8,89.2,89.2,89.5,85.5,88.8,85.5,85.5,89.5,89.5,91.0,98.6,104.8,112.1,108.1,108.1,108.1,111.7,120.8,126.3,133.6,135.0,147.4,147.4,149.9,155.0,151.0,155.0,160.5,157.2,157.2,155.4,135.4,130.7,127.4,121.9,109.9,116.5,112.1,122.3,159.8
01059,LK Schleswig-Flensburg,43.4,48.9,48.4,47.9,51.3,55.8,68.1,85.9,82.4,86.9,91.3,104.1,105.6,92.3,87.3,87.3,87.3,81.9,81.9,78.5,88.8,83.9,87.8,96.2,108.6,107.1,110.5,107.1,115.0,115.0,112.0,108.1,106.1,110.5,112.0,110.5,118.4,116.0,110.5,117.4,119.9,114.5,112.0,100.2,98.2,102.1,92.3,99.2,103.1,100.2,106.1,108.1,112.0,113.0,102.6,105.1,110.0,109.1,117.4,113.0,119.4
