zipcode,country_code,place,state,state_code,province,province_code,community,community_code,latitude,longitude,inc_2021-11-25,inc_2021-12-20
01067,DE,Dresden Innere Altstadt,Sachsen,SN,,00,Kreisfreie Stadt Dresden,14612,51.0507,13.7366,1444.2,765.5
01127,DE,Dresden,Sachsen,SN,,00,Kreisfreie Stadt Dresden,14612,51.079,13.7208,1444.2,765.5
01169,DE,Dresden,Sachsen,SN,,00,Kreisfreie Stadt Dresden,14612,51.0443,13.6738,1444.2,765.5
01239,DE,Dresden,Sachsen,SN,,00,Kreisfreie Stadt Dresden,14612,51.0066,13.8089,1444.2,765.5
01307,DE,Dresden,Sachsen,SN,,00,Kreisfreie Stadt Dresden,14612,51.05,13.75,1444.2,765.5
01458,DE,Ottendorf-Okrilla,Sachsen,SN,,00,Landkreis Bautzen,14625,51.1833,13.8333,1938.9,885.5
01662,DE,Meißen,Sachsen,SN,,00,Landkreis Meißen,14627,51.1649,13.4859,1288.0,955.6
01665,DE,Klipphausen,Sachsen,SN,,00,Landkreis Meißen,14627,51.0684,13.5137,1288.0,955.6
02625,DE,Bautzen,Sachsen,SN,,00,Landkreis Bautzen,14625,51.1825,14.4292,1938.9,885.5
03048,DE,Cottbus,Brandenburg,BB,,00,Kreisfreie Stadt Cottbus,12052,51.7403,14.3198,728.5,1210.8
03050,DE,Cottbus,Brandenburg,BB,,00,Kreisfreie Stadt Cottbus,12052,51.7324,14.3347,728.5,1210.8
04103,DE,Leipzig,Sachsen,SN,,00,Kreisfreie Stadt Leipzig,14713,51.3405,12.3827,910.5,428.3
04289,DE,Leipzig,Sachsen,SN,,00,Kreisfreie Stadt Leipzig,14713,51.3667,12.3833,910.5,428.3
04571,DE,Rötha,Sachsen,SN,,00,Landkreis Leipzig,14729,51.1978,12.4145,1355.3,729.1
04600,DE,Altenburg,Thüringen,TH,,00,Altenburger Land,16077,50.9876,12.4368,1178.2,668.9
04779,DE,Wermsdorf,Sachsen,SN,,00,Landkreis Nordsachsen,14730,51.2833,12.95,1470.3,727.3
06112,DE,Halle,Sachsen-Anhalt,ST,,00,Kreisfreie Stadt Halle,15002,51.4753,11.9973,602.9,715.1
06120,DE,Halle,Sachsen-Anhalt,ST,,00,Kreisfreie Stadt Halle,15002,51.5124,11.9055,602.9,715.1
06406,DE,Bernburg,Sachsen-Anhalt,ST,,00,Salzlandkreis,15089,51.7946,11.7401,695.6,642.8
06847,DE,Dessau,Sachsen-Anhalt,ST,,00,Dessau-Roßlau,15001,51.8221,12.1917,906.1,649.0
07548,DE,Gera,Thüringen,TH,,00,"Gera, Stadt",16052,50.8667,12.0833,775.0,852.1
07745,DE,Jena,Thüringen,TH,,00,"Jena, Stadt",16053,50.8933,11.5847,578.0,692.7
07973,DE,Greiz,Thüringen,TH,,00,Landkreis Greiz,16076,50.6578,12.1992,976.5,893.8
08396,DE,Oberwiera,Sachsen,SN,,00,Zwickau,14524,50.8833,12.5,1507.2,724.0
09116,DE,Chemnitz,Sachsen,SN,,00,"Chemnitz, Stadt",14511,50.8213,12.884,1112.9,743.9
09221,DE,Neukirchen/Erzgebirge,Sachsen,SN,,00,Erzgebirgskreis,14521,50.7835,12.87,2052.0,725.5
09366,DE,Stollberg/Erzgebirge,Sachsen,SN,,00,Erzgebirgskreis,14521,50.7047,12.7645,2052.0,725.5
09456,DE,Mildenau,Sachsen,SN,,00,Erzgebirgskreis,14521,50.5869,13.0726,2052.0,725.5
10409,DE,Berlin,Berlin,BE,,00,"Berlin, Stadt",11000,52.5443,13.4414,379.1,338.4
10627,DE,Berlin,Berlin,BE,,00,"Berlin, Stadt",11000,52.508,13.303,379.1,338.4
10829,DE,Berlin,Berlin,BE,,00,"Berlin, Stadt",11000,52.4761,13.3607,379.1,338.4
12247,DE,Berlin,Berlin,BE,,00,"Berlin, Stadt",11000,52.4395,13.3462,379.1,338.4
12489,DE,Berlin,Berlin,BE,,00,"Berlin, Stadt",11000,52.4356,13.5432,379.1,338.4
12683,DE,Berlin,Berlin,BE,,00,"Berlin, Stadt",11000,52.5075,13.5591,379.1,338.4
13086,DE,Berlin,Berlin,BE,,00,"Berlin, Stadt",11000,52.5565,13.4482,379.1,338.4
13347,DE,Berlin,Berlin,BE,,00,"Berlin, Stadt",11000,52.5491,13.3655,379.1,338.4
13353,DE,Berlin,Berlin,BE,,00,"Berlin, Stadt",11000,52.5416,13.3495,379.1,338.4
13407,DE,Berlin,Berlin,BE,,00,"Berlin, Stadt",11000,52.5727,13.3512,379.1,338.4
14050,DE,Berlin,Berlin,BE,,00,"Berlin, Stadt",11000,52.5208,13.2683,379.1,338.4
14197,DE,Berlin,Berlin,BE,,00,"Berlin, Stadt",11000,52.4734,13.3118,379.1,338.4
14467,DE,Potsdam,Brandenburg,BB,,00,Kreisfreie Stadt Potsdam,12054,52.403,13.0626,416.2,331.1
14770,DE,Brandenburg an der Havel,Brandenburg,BB,,00,Kreisfreie Stadt Brandenburg an der Havel,12051,52.4189,12.5228,449.8,774.6
15230,DE,Frankfurt (Oder),Brandenburg,BB,,00,Frankfurt (Oder),12053,52.3475,14.5539,780.5,620.9
16321,DE,Lindenberg,Brandenburg,BB,,00,Landkreis Barnim,12060,52.6026,13.5244,390.2,555.7
17493,DE,Greifswald,Mecklenburg-Vorpommern,MV,,00,Vorpommern-Greifswald,13075,54.0902,13.4464,424.1,537.0
18057,DE,Rostock,Mecklenburg-Vorpommern,MV,,00,Kreisfreie Stadt Rostock,13003,54.0872,12.1062,256.4,368.3
18059,DE,Ziesendorf,Mecklenburg-Vorpommern,MV,,00,Landkreis Rostock,13072,53.9943,12.0393,373.6,470.8
18435,DE,Stralsund,Mecklenburg-Vorpommern,MV,,00,Vorpommern-Rügen,13073,54.3272,13.0642,402.4,410.9
19061,DE,Schwerin,Mecklenburg-Vorpommern,MV,,00,Schwerin,13004,53.5992,11.404,376.5,250.0
20095,DE,Hamburg Altstadt,Hamburg,HH,,00,"Hamburg, Freie und Hansestadt",02000,53.5453,9.9953,244.4,326.5
20359,DE,Hamburg Neustadt,Hamburg,HH,,00,"Hamburg, Freie und Hansestadt",02000,53.5497,9.9794,244.4,326.5
20539,DE,Hamburg Wilhelmsburg,Hamburg,HH,,00,"Hamburg, Freie und Hansestadt",02000,53.4978,10.0189,244.4,326.5
21079,DE,Hamburg,Hamburg,HH,,00,"Hamburg, Freie und Hansestadt",02000,53.4616,10.0109,244.4,326.5
21423,DE,Winsen (Luhe),Niedersachsen,NI,,00,Landkreis Harburg,03353,53.3484,10.2068,142.2,173.8
